0.104, 0.085, 0.441, 0.37, 
0.3, 0.03, 0.67, 0.0, 
0.2, 0.423, 0.346, 0.031, 
0.322, 0.11, 0.508, 0.06, 
0.517, 0.044, 0.063, 0.376, 
0.563, 0.143, 0.095, 0.199, 
0.513, 0.234, 0.096, 0.157, 
0.263, 0.282, 0.455, 0.0, 
0.115, 0.257, 0.176, 0.452, 
0.077, 0.667, 0.078, 0.178, 
0.048, 0.614, 0.328, 0.01, 
0.025, 0.242, 0.49, 0.243, 
0.191, 0.31, 0.037, 0.462, 
0.69, 0.048, 0.243, 0.019, 
0.73, 0.125, 0.145, 0.0, 
0.645, 0.114, 0.165, 0.076, 
0.416, 0.01, 0.556, 0.018, 
0.037, 0.252, 0.098, 0.613, 
0.229, 0.333, 0.43, 0.008, 
0.131, 0.601, 0.051, 0.217, 
0.091, 0.378, 0.029, 0.502, 
0.528, 0.326, 0.034, 0.112, 
0.683, 0.066, 0.131, 0.12, 
0.549, 0.11, 0.323, 0.018, 
0.12, 0.271, 0.584, 0.025, 
0.017, 0.056, 0.927, 0.0, 
0.355, 0.29, 0.109, 0.246, 
0.032, 0.069, 0.725, 0.174, 
0.267, 0.285, 0.274, 0.174, 
0.363, 0.4, 0.062, 0.175, 
0.292, 0.198, 0.47, 0.04, 
0.04, 0.084, 0.754, 0.122, 
0.003, 0.928, 0.069, 0.0, 
0.13, 0.779, 0.066, 0.025, 
0.273, 0.108, 0.46, 0.159, 
0.158, 0.324, 0.269, 0.249, 
0.206, 0.291, 0.095, 0.408, 
0.131, 0.252, 0.485, 0.132, 
0.456, 0.143, 0.401, 0.0, 
0.385, 0.094, 0.231, 0.29, 
0.108, 0.692, 0.084, 0.116, 
0.078, 0.189, 0.517, 0.216, 
0.387, 0.075, 0.247, 0.291, 
0.061, 0.423, 0.235, 0.281, 
0.214, 0.387, 0.303, 0.096, 
0.085, 0.464, 0.367, 0.084, 
0.066, 0.667, 0.038, 0.229, 
0.458, 0.039, 0.382, 0.121, 
0.12, 0.116, 0.593, 0.171, 
0.195, 0.191, 0.521, 0.093, 
0.135, 0.196, 0.308, 0.361, 
0.117, 0.3, 0.453, 0.13, 
0.359, 0.076, 0.371, 0.194, 
0.213, 0.487, 0.294, 0.006, 
0.041, 0.666, 0.223, 0.07, 
0.781, 0.066, 0.127, 0.026, 
0.107, 0.734, 0.043, 0.116, 
0.171, 0.516, 0.029, 0.284, 
0.161, 0.39, 0.152, 0.297, 
0.256, 0.07, 0.45, 0.224, 
0.093, 0.103, 0.496, 0.308, 
0.278, 0.04, 0.092, 0.59, 
0.669, 0.035, 0.18, 0.116, 
0.614, 0.144, 0.149, 0.093, 
0.441, 0.127, 0.302, 0.13, 
0.059, 0.419, 0.244, 0.278, 
0.47, 0.273, 0.082, 0.175, 
0.433, 0.246, 0.166, 0.155, 
0.548, 0.081, 0.249, 0.122, 
0.152, 0.472, 0.197, 0.179, 
0.589, 0.346, 0.05, 0.015, 
0.521, 0.264, 0.028, 0.187, 
0.132, 0.354, 0.407, 0.107, 
0.215, 0.192, 0.349, 0.244, 
0.31, 0.077, 0.202, 0.411, 
0.441, 0.133, 0.2, 0.226, 
0.168, 0.128, 0.075, 0.629, 
0.118, 0.285, 0.066, 0.531, 
0.435, 0.248, 0.282, 0.035, 
0.191, 0.369, 0.376, 0.064, 
0.208, 0.296, 0.312, 0.184, 
0.201, 0.121, 0.517, 0.161, 
0.109, 0.503, 0.212, 0.176, 
0.231, 0.488, 0.201, 0.08, 
0.026, 0.35, 0.478, 0.146, 
0.249, 0.484, 0.267, 0.0, 
0.077, 0.31, 0.255, 0.358, 
0.127, 0.573, 0.112, 0.188, 
0.066, 0.09, 0.708, 0.136, 
0.184, 0.498, 0.15, 0.168, 
0.098, 0.147, 0.703, 0.052, 
0.165, 0.429, 0.249, 0.157, 
0.193, 0.561, 0.196, 0.05, 
0.106, 0.635, 0.049, 0.21, 
0.122, 0.56, 0.211, 0.107, 
0.068, 0.519, 0.408, 0.005, 
0.755, 0.077, 0.075, 0.093, 
0.122, 0.059, 0.724, 0.095, 
0.29, 0.029, 0.582, 0.099, 
0.233, 0.467, 0.204, 0.096, 
0.194, 0.255, 0.167, 0.384, 
0.268, 0.192, 0.535, 0.005, 
0.501, 0.067, 0.123, 0.309, 
0.679, 0.227, 0.007, 0.087, 
0.504, 0.221, 0.257, 0.018, 
0.308, 0.11, 0.17, 0.412, 
0.371, 0.137, 0.343, 0.149, 
0.283, 0.081, 0.385, 0.251, 
0.341, 0.12, 0.267, 0.272, 
0.103, 0.406, 0.416, 0.075, 
0.173, 0.059, 0.698, 0.07, 
0.108, 0.126, 0.735, 0.031, 
0.135, 0.264, 0.475, 0.126, 
0.179, 0.461, 0.179, 0.181, 
0.096, 0.634, 0.155, 0.115, 
0.082, 0.633, 0.097, 0.188, 
0.338, 0.126, 0.187, 0.349, 
0.206, 0.171, 0.42, 0.203, 
0.21, 0.11, 0.574, 0.106, 
0.226, 0.425, 0.349, 0.0, 
0.303, 0.225, 0.291, 0.181, 
0.52, 0.185, 0.087, 0.208, 
0.124, 0.531, 0.241, 0.104, 
0.092, 0.296, 0.559, 0.053, 
0.304, 0.184, 0.068, 0.444, 
0.183, 0.262, 0.217, 0.338, 
0.181, 0.044, 0.731, 0.044, 
0.147, 0.056, 0.034, 0.763, 
0.122, 0.41, 0.03, 0.438, 
0.063, 0.167, 0.599, 0.171, 
0.016, 0.173, 0.163, 0.648, 
0.304, 0.081, 0.543, 0.072, 
0.294, 0.529, 0.177, 0.0, 
0.01, 0.296, 0.51, 0.184, 
0.272, 0.639, 0.062, 0.027, 
0.096, 0.423, 0.143, 0.338, 
0.116, 0.341, 0.529, 0.014, 
0.659, 0.145, 0.136, 0.06, 
0.128, 0.092, 0.686, 0.094, 
0.297, 0.047, 0.611, 0.045, 
0.304, 0.017, 0.461, 0.218, 
0.317, 0.164, 0.257, 0.262, 
0.379, 0.325, 0.253, 0.043, 
0.612, 0.056, 0.243, 0.089, 
0.676, 0.013, 0.291, 0.02, 
0.438, 0.318, 0.228, 0.016, 
0.161, 0.225, 0.175, 0.439, 
0.406, 0.331, 0.166, 0.097, 
0.292, 0.141, 0.384, 0.183, 
0.129, 0.443, 0.213, 0.215, 
0.362, 0.227, 0.328, 0.083, 
0.36, 0.142, 0.069, 0.429, 
0.317, 0.242, 0.177, 0.264, 
0.354, 0.261, 0.348, 0.037, 
0.329, 0.162, 0.388, 0.121, 
0.313, 0.057, 0.345, 0.285, 
0.249, 0.228, 0.442, 0.081, 
0.159, 0.091, 0.534, 0.216, 
0.049, 0.471, 0.094, 0.386, 
0.229, 0.246, 0.162, 0.363, 
0.51, 0.154, 0.168, 0.168, 
0.098, 0.205, 0.598, 0.099, 
0.09, 0.336, 0.268, 0.306, 
0.143, 0.065, 0.672, 0.12, 
0.219, 0.493, 0.28, 0.008, 
0.081, 0.443, 0.048, 0.428, 
0.32, 0.013, 0.452, 0.215, 
0.127, 0.045, 0.17, 0.658, 
0.028, 0.062, 0.042, 0.868, 
0.1, 0.1, 0.06, 0.74, 
0.097, 0.167, 0.379, 0.357, 
0.122, 0.239, 0.562, 0.077, 
0.026, 0.347, 0.176, 0.451, 
0.544, 0.141, 0.077, 0.238, 
0.479, 0.267, 0.15, 0.104, 
0.36, 0.475, 0.165, 0.0, 
0.302, 0.264, 0.374, 0.06, 
0.052, 0.147, 0.361, 0.44, 
0.029, 0.544, 0.124, 0.303, 
0.09, 0.133, 0.667, 0.11, 
0.236, 0.055, 0.577, 0.132, 
0.194, 0.306, 0.469, 0.031, 
0.201, 0.473, 0.148, 0.178, 
0.386, 0.325, 0.105, 0.184, 
0.672, 0.028, 0.037, 0.263, 
0.607, 0.006, 0.361, 0.026, 
0.254, 0.492, 0.244, 0.01, 
0.066, 0.542, 0.311, 0.081, 
0.307, 0.185, 0.133, 0.375, 
0.257, 0.396, 0.188, 0.159, 
0.474, 0.3, 0.171, 0.055, 
0.628, 0.129, 0.091, 0.152, 
0.599, 0.165, 0.097, 0.139, 
0.591, 0.133, 0.181, 0.095, 
0.591, 0.141, 0.184, 0.084, 
0.65, 0.106, 0.12, 0.124, 
0.527, 0.033, 0.086, 0.354, 
0.298, 0.095, 0.04, 0.567, 
0.089, 0.131, 0.696, 0.084, 
0.088, 0.563, 0.259, 0.09, 
0.266, 0.429, 0.224, 0.081, 
0.196, 0.414, 0.21, 0.18, 
0.148, 0.228, 0.25, 0.374, 
0.186, 0.243, 0.345, 0.226, 
0.207, 0.171, 0.384, 0.238, 
0.281, 0.017, 0.645, 0.057, 
0.141, 0.592, 0.086, 0.181, 
0.497, 0.053, 0.086, 0.364, 
0.235, 0.322, 0.251, 0.192, 
0.011, 0.112, 0.301, 0.576, 
0.101, 0.289, 0.045, 0.565, 
0.201, 0.19, 0.035, 0.574, 
0.292, 0.182, 0.158, 0.368, 
0.449, 0.147, 0.134, 0.27, 
0.588, 0.045, 0.309, 0.058, 
0.501, 0.329, 0.1, 0.07, 
0.55, 0.03, 0.149, 0.271, 
0.189, 0.184, 0.162, 0.465, 
0.02, 0.093, 0.742, 0.145, 
0.056, 0.346, 0.598, 0.0, 
0.19, 0.507, 0.029, 0.274, 
0.098, 0.078, 0.497, 0.327, 
0.136, 0.253, 0.37, 0.241, 
0.177, 0.578, 0.099, 0.146, 
0.374, 0.236, 0.258, 0.132, 
0.659, 0.077, 0.036, 0.228, 
0.476, 0.027, 0.469, 0.028, 
0.07, 0.709, 0.078, 0.143, 
0.359, 0.21, 0.231, 0.2, 
0.294, 0.042, 0.257, 0.407, 
0.592, 0.152, 0.097, 0.159, 
0.759, 0.11, 0.035, 0.096, 
0.687, 0.034, 0.101, 0.178, 
0.719, 0.058, 0.076, 0.147, 
0.693, 0.11, 0.114, 0.083, 
0.709, 0.124, 0.088, 0.079, 
0.553, 0.224, 0.074, 0.149, 
0.362, 0.298, 0.052, 0.288, 
0.141, 0.32, 0.088, 0.451, 
0.282, 0.172, 0.426, 0.12, 
0.165, 0.255, 0.233, 0.347, 
0.262, 0.124, 0.564, 0.05, 
0.13, 0.439, 0.253, 0.178, 
0.179, 0.169, 0.401, 0.251, 
0.067, 0.178, 0.381, 0.374, 
0.004, 0.012, 0.009, 0.975, 
0.209, 0.037, 0.076, 0.678, 
0.162, 0.688, 0.047, 0.103, 
0.098, 0.535, 0.239, 0.128, 
0.316, 0.498, 0.071, 0.115, 
0.074, 0.026, 0.862, 0.038, 
0.112, 0.347, 0.205, 0.336, 
0.173, 0.323, 0.073, 0.431, 
0.3, 0.241, 0.122, 0.337, 
0.365, 0.143, 0.345, 0.147, 
0.466, 0.115, 0.19, 0.229, 
0.303, 0.068, 0.116, 0.513, 
0.175, 0.419, 0.194, 0.212, 
0.013, 0.002, 0.008, 0.977, 
0.292, 0.068, 0.348, 0.292, 
0.212, 0.115, 0.14, 0.533, 
0.224, 0.189, 0.418, 0.169, 
0.131, 0.061, 0.369, 0.439, 
0.089, 0.302, 0.096, 0.513, 
0.172, 0.372, 0.394, 0.062, 
0.426, 0.097, 0.322, 0.155, 
0.534, 0.097, 0.237, 0.132, 
0.184, 0.499, 0.162, 0.155, 
0.181, 0.444, 0.121, 0.254, 
0.201, 0.491, 0.078, 0.23, 
0.347, 0.085, 0.462, 0.106, 
0.519, 0.045, 0.107, 0.329, 
0.593, 0.09, 0.048, 0.269, 
0.566, 0.161, 0.199, 0.074, 
0.518, 0.256, 0.094, 0.132, 
0.417, 0.383, 0.02, 0.18, 
0.308, 0.512, 0.146, 0.034, 
0.113, 0.587, 0.213, 0.087, 
0.512, 0.212, 0.159, 0.117, 
0.448, 0.031, 0.35, 0.171, 
0.333, 0.489, 0.126, 0.052, 
0.168, 0.411, 0.153, 0.268, 
0.288, 0.279, 0.28, 0.153, 
0.136, 0.262, 0.283, 0.319, 
0.309, 0.416, 0.108, 0.167, 
0.184, 0.193, 0.413, 0.21, 
0.249, 0.303, 0.087, 0.361, 
0.111, 0.058, 0.185, 0.646, 
0.11, 0.038, 0.117, 0.735, 
0.005, 0.759, 0.097, 0.139, 
0.061, 0.706, 0.068, 0.165, 
0.066, 0.038, 0.449, 0.447, 
0.122, 0.034, 0.353, 0.491, 
0.133, 0.197, 0.125, 0.545, 
0.247, 0.442, 0.196, 0.115, 
0.356, 0.392, 0.252, 0.0, 
0.238, 0.15, 0.099, 0.513, 
0.054, 0.005, 0.016, 0.925, 
0.515, 0.074, 0.244, 0.167, 
0.274, 0.076, 0.354, 0.296, 
0.648, 0.163, 0.045, 0.144, 
0.565, 0.199, 0.05, 0.186, 
0.326, 0.262, 0.221, 0.191, 
0.227, 0.255, 0.288, 0.23, 
0.117, 0.83, 0.053, 0.0, 
0.145, 0.025, 0.581, 0.249, 
0.315, 0.401, 0.113, 0.171, 
0.23, 0.176, 0.111, 0.483, 
0.026, 0.344, 0.488, 0.142, 
0.055, 0.114, 0.415, 0.416, 
0.033, 0.693, 0.137, 0.137, 
0.103, 0.085, 0.782, 0.03, 
0.146, 0.191, 0.576, 0.087, 
0.199, 0.307, 0.37, 0.124, 
0.241, 0.444, 0.197, 0.118, 
0.232, 0.591, 0.085, 0.092, 
0.022, 0.175, 0.711, 0.092, 
0.029, 0.792, 0.179, 0.0, 
0.668, 0.15, 0.114, 0.068, 
0.579, 0.03, 0.29, 0.101, 
0.381, 0.152, 0.36, 0.107, 
0.149, 0.426, 0.425, 0.0, 
0.542, 0.266, 0.049, 0.143, 
0.476, 0.165, 0.288, 0.071, 
0.315, 0.274, 0.337, 0.074, 
0.221, 0.316, 0.25, 0.213, 
0.188, 0.386, 0.153, 0.273, 
0.221, 0.592, 0.035, 0.152, 
0.044, 0.074, 0.325, 0.557, 
0.056, 0.234, 0.04, 0.67, 
0.03, 0.175, 0.071, 0.724, 
0.12, 0.061, 0.096, 0.723, 
0.085, 0.107, 0.109, 0.699, 
0.176, 0.118, 0.706, 0.0, 
0.211, 0.103, 0.346, 0.34, 
0.218, 0.061, 0.502, 0.219, 
0.022, 0.354, 0.163, 0.461, 
0.205, 0.141, 0.654, 0.0, 
0.005, 0.032, 0.049, 0.914, 
0.362, 0.031, 0.08, 0.527, 
0.704, 0.086, 0.097, 0.113, 
0.725, 0.169, 0.059, 0.047, 
0.076, 0.676, 0.223, 0.025, 
0.492, 0.165, 0.081, 0.262, 
0.295, 0.334, 0.208, 0.163, 
0.084, 0.267, 0.101, 0.548, 
0.13, 0.494, 0.193, 0.183, 
0.091, 0.336, 0.269, 0.304, 
0.112, 0.115, 0.036, 0.737, 
0.081, 0.123, 0.157, 0.639, 
0.032, 0.397, 0.362, 0.209, 
0.073, 0.595, 0.061, 0.271, 
0.219, 0.629, 0.133, 0.019, 
0.393, 0.427, 0.099, 0.081, 
0.022, 0.576, 0.288, 0.114, 
0.112, 0.714, 0.145, 0.029, 
0.028, 0.036, 0.145, 0.791, 
0.08, 0.051, 0.849, 0.02, 
0.076, 0.818, 0.068, 0.038, 
0.67, 0.109, 0.196, 0.025, 
0.472, 0.117, 0.089, 0.322, 
0.292, 0.319, 0.057, 0.332, 
0.154, 0.567, 0.252, 0.027, 
0.048, 0.499, 0.233, 0.22, 
0.33, 0.414, 0.165, 0.091, 
0.34, 0.182, 0.148, 0.33, 
0.194, 0.102, 0.259, 0.445, 
0.133, 0.354, 0.359, 0.154, 
0.078, 0.646, 0.274, 0.002, 
0.04, 0.063, 0.553, 0.344, 
0.054, 0.464, 0.047, 0.435, 
0.036, 0.355, 0.084, 0.525, 
0.273, 0.044, 0.128, 0.555, 
0.217, 0.083, 0.167, 0.533, 
0.127, 0.142, 0.207, 0.524, 
0.018, 0.223, 0.211, 0.548, 
0.056, 0.304, 0.182, 0.458, 
0.314, 0.132, 0.407, 0.147, 
0.259, 0.158, 0.583, 0.0, 
0.093, 0.096, 0.811, 0.0, 
0.052, 0.16, 0.108, 0.68, 
0.105, 0.614, 0.144, 0.137, 
0.063, 0.691, 0.15, 0.096, 
0.095, 0.633, 0.225, 0.047, 
0.09, 0.475, 0.137, 0.298, 
0.263, 0.132, 0.043, 0.562, 
0.062, 0.223, 0.389, 0.326, 
0.471, 0.313, 0.092, 0.124, 
0.077, 0.18, 0.153, 0.59, 
0.069, 0.142, 0.135, 0.654, 
0.189, 0.196, 0.468, 0.147, 
0.019, 0.213, 0.226, 0.542, 
0.155, 0.315, 0.048, 0.482, 
0.376, 0.325, 0.299, 0.0, 
0.071, 0.59, 0.153, 0.186, 
0.037, 0.014, 0.743, 0.206, 
0.085, 0.026, 0.079, 0.81, 
0.114, 0.025, 0.837, 0.024, 
0.091, 0.82, 0.071, 0.018, 
0.701, 0.21, 0.049, 0.04, 
0.54, 0.41, 0.008, 0.042, 
0.402, 0.106, 0.252, 0.24, 
0.243, 0.179, 0.274, 0.304, 
0.138, 0.275, 0.302, 0.285, 
0.299, 0.348, 0.216, 0.137, 
0.46, 0.123, 0.323, 0.094, 
0.419, 0.22, 0.307, 0.054, 
0.079, 0.225, 0.383, 0.313, 
0.216, 0.118, 0.521, 0.145, 
0.238, 0.389, 0.315, 0.058, 
0.055, 0.8, 0.043, 0.102, 
0.074, 0.762, 0.074, 0.09, 
0.041, 0.66, 0.138, 0.161, 
0.511, 0.019, 0.189, 0.281, 
0.374, 0.045, 0.222, 0.359, 
0.276, 0.073, 0.316, 0.335, 
0.116, 0.143, 0.347, 0.394, 
0.016, 0.242, 0.309, 0.433, 
0.29, 0.252, 0.379, 0.079, 
0.292, 0.231, 0.294, 0.183, 
0.386, 0.225, 0.219, 0.17, 
0.118, 0.561, 0.173, 0.148, 
0.146, 0.544, 0.188, 0.122, 
0.135, 0.614, 0.114, 0.137, 
0.219, 0.468, 0.01, 0.303, 
0.181, 0.405, 0.138, 0.276, 
0.087, 0.243, 0.163, 0.507, 
0.021, 0.223, 0.025, 0.731, 
0.105, 0.635, 0.113, 0.147, 
0.13, 0.175, 0.081, 0.614, 
0.216, 0.271, 0.513, 0.0, 
0.149, 0.254, 0.322, 0.275, 
0.113, 0.059, 0.118, 0.71, 
0.247, 0.103, 0.1, 0.55, 
0.05, 0.516, 0.098, 0.336, 
0.052, 0.035, 0.709, 0.204, 
0.091, 0.092, 0.029, 0.788, 
0.077, 0.799, 0.056, 0.068, 
0.087, 0.757, 0.012, 0.144, 
0.055, 0.654, 0.167, 0.124, 
0.499, 0.159, 0.242, 0.1, 
0.33, 0.121, 0.216, 0.333, 
0.252, 0.258, 0.231, 0.259, 
0.187, 0.148, 0.25, 0.415, 
0.282, 0.135, 0.544, 0.039, 
0.371, 0.117, 0.094, 0.418, 
0.285, 0.128, 0.074, 0.513, 
0.165, 0.122, 0.185, 0.528, 
0.136, 0.171, 0.257, 0.436, 
0.174, 0.28, 0.449, 0.097, 
0.11, 0.373, 0.082, 0.435, 
0.052, 0.872, 0.066, 0.01, 
0.056, 0.815, 0.055, 0.074, 
0.057, 0.762, 0.034, 0.147, 
0.062, 0.71, 0.228, 0.0, 
0.029, 0.566, 0.318, 0.087, 
0.352, 0.043, 0.36, 0.245, 
0.225, 0.075, 0.44, 0.26, 
0.119, 0.139, 0.469, 0.273, 
0.017, 0.232, 0.436, 0.315, 
0.242, 0.376, 0.262, 0.12, 
0.121, 0.384, 0.249, 0.246, 
0.169, 0.446, 0.213, 0.172, 
0.23, 0.491, 0.194, 0.085, 
0.268, 0.518, 0.046, 0.168, 
0.244, 0.399, 0.102, 0.255, 
0.289, 0.301, 0.053, 0.357, 
0.206, 0.207, 0.203, 0.384, 
0.087, 0.143, 0.144, 0.626, 
0.067, 0.193, 0.622, 0.118, 
0.161, 0.434, 0.233, 0.172, 
0.305, 0.426, 0.269, 0.0, 
0.083, 0.248, 0.45, 0.219, 
0.085, 0.06, 0.304, 0.551, 
0.135, 0.303, 0.188, 0.374, 
0.149, 0.542, 0.159, 0.15, 
0.041, 0.585, 0.142, 0.232, 
0.574, 0.089, 0.122, 0.215, 
0.55, 0.216, 0.033, 0.201, 
0.539, 0.056, 0.299, 0.106, 
0.428, 0.164, 0.282, 0.126, 
0.275, 0.156, 0.244, 0.325, 
0.152, 0.248, 0.183, 0.417, 
0.08, 0.383, 0.343, 0.194, 
0.177, 0.365, 0.283, 0.175, 
0.281, 0.184, 0.176, 0.359, 
0.322, 0.28, 0.027, 0.371, 
0.366, 0.097, 0.253, 0.284, 
0.183, 0.45, 0.102, 0.265, 
0.041, 0.659, 0.152, 0.148, 
0.269, 0.211, 0.422, 0.098, 
0.482, 0.235, 0.049, 0.234, 
0.069, 0.894, 0.015, 0.022, 
0.067, 0.848, 0.069, 0.016, 
0.056, 0.794, 0.145, 0.005, 
0.035, 0.716, 0.229, 0.02, 
0.023, 0.593, 0.332, 0.052, 
0.04, 0.467, 0.427, 0.066, 
0.301, 0.039, 0.506, 0.154, 
0.218, 0.059, 0.586, 0.137, 
0.08, 0.11, 0.627, 0.183, 
0.06, 0.187, 0.53, 0.223, 
0.145, 0.272, 0.378, 0.205, 
0.222, 0.333, 0.284, 0.161, 
0.299, 0.371, 0.231, 0.099, 
0.399, 0.389, 0.179, 0.033, 
0.413, 0.329, 0.118, 0.14, 
0.465, 0.219, 0.316, 0.0, 
0.328, 0.128, 0.134, 0.41, 
0.177, 0.152, 0.136, 0.535, 
0.142, 0.261, 0.347, 0.25, 
0.065, 0.281, 0.301, 0.353, 
0.012, 0.038, 0.336, 0.614, 
0.274, 0.549, 0.083, 0.094, 
0.232, 0.289, 0.219, 0.26, 
0.263, 0.171, 0.135, 0.431, 
0.185, 0.25, 0.059, 0.506, 
0.105, 0.232, 0.197, 0.466, 
0.019, 0.161, 0.514, 0.306, 
0.117, 0.067, 0.764, 0.052, 
0.112, 0.284, 0.491, 0.113, 
0.342, 0.416, 0.123, 0.119, 
0.09, 0.641, 0.128, 0.141, 
0.193, 0.506, 0.087, 0.214, 
0.055, 0.509, 0.066, 0.37, 
0.437, 0.374, 0.091, 0.098, 
0.284, 0.421, 0.202, 0.093, 
0.171, 0.301, 0.325, 0.203, 
0.132, 0.631, 0.164, 0.073, 
0.072, 0.145, 0.6, 0.183, 
0.157, 0.545, 0.18, 0.118, 
0.245, 0.101, 0.243, 0.411, 
0.262, 0.289, 0.191, 0.258, 
0.057, 0.828, 0.062, 0.053, 
0.043, 0.729, 0.172, 0.056, 
0.028, 0.634, 0.285, 0.053, 
0.535, 0.395, 0.012, 0.058, 
0.434, 0.505, 0.024, 0.037, 
0.029, 0.363, 0.581, 0.027, 
0.023, 0.306, 0.639, 0.032, 
0.04, 0.259, 0.656, 0.045, 
0.057, 0.171, 0.72, 0.052, 
0.054, 0.085, 0.728, 0.133, 
0.154, 0.146, 0.562, 0.138, 
0.265, 0.214, 0.396, 0.125, 
0.366, 0.253, 0.291, 0.09, 
0.478, 0.269, 0.211, 0.042, 
0.55, 0.243, 0.138, 0.069, 
0.539, 0.14, 0.062, 0.259, 
0.47, 0.076, 0.142, 0.312, 
0.303, 0.062, 0.305, 0.33, 
0.219, 0.203, 0.11, 0.468, 
0.116, 0.469, 0.064, 0.351, 
0.377, 0.039, 0.116, 0.468, 
0.371, 0.226, 0.354, 0.049, 
0.368, 0.174, 0.134, 0.324, 
0.281, 0.105, 0.055, 0.559, 
0.164, 0.102, 0.096, 0.638, 
0.067, 0.058, 0.137, 0.738, 
